# Session
# Date,2026-06-25 10:58:42
# Duration,16.888s
# Sampling Rate (Expected),Game (50 Hz) - Climbing recommended
# Total Events,831
#
Time(ms),Sensor,Accel.X(m/s²),Accel.Y(m/s²),Accel.Z(m/s²),Gyro.X(rad/s),Gyro.Y(rad/s),Gyro.Z(rad/s),Heart(bpm),Pressure(hPa),Altitude(m)
644,fused,5.012956619262695,-9.094587326049805,2.1316614151000977,-2.111056327819824,-0.8958713412284851,0.03933177888393402,0.0,0.0,0.0
665,fused,3.676267385482788,-10.58937931060791,2.687417507171631,-1.610506296157837,-0.10990133881568909,0.3492467999458313,0.0,0.0,0.0
691,fused,0.9310244917869568,-13.708319664001465,3.4611639976501465,-0.9363613128662109,0.4012986719608307,0.8476667404174805,0.0,0.0,0.0
704,fused,0.9310244917869568,-13.708319664001465,3.4611639976501465,-0.6530712842941284,0.12759365141391754,0.7624667286872864,0.0,0.0,0.0
727,fused,1.9371345043182373,-11.947627067565918,1.8897160291671753,-0.21642132103443146,-0.17167134582996368,0.39078179001808167,0.0,0.0,0.0
752,fused,1.4244974851608276,-8.89815616607666,2.3831889629364014,0.4140586853027344,0.14782865345478058,0.4035618007183075,0.0,0.0,0.0
765,fused,0.413596510887146,-8.756821632385254,3.2767105102539062,0.6430336833000183,0.2713686525821686,0.5345567464828491,0.0,0.0,0.0
786,fused,0.413596510887146,-8.756821632385254,3.2767105102539062,0.6430336833000183,0.2713686525821686,0.5345567464828491,0.0,0.0,0.0
807,fused,0.413596510887146,-8.756821632385254,3.2767105102539062,0.6430336833000183,0.2713686525821686,0.5345567464828491,0.0,0.0,0.0
825,fused,0.413596510887146,-8.756821632385254,3.2767105102539062,0.6430336833000183,0.2713686525821686,0.5345567464828491,0.0,0.0,0.0
851,fused,0.7010564804077148,-9.235921859741211,3.4875144958496094,0.4587886929512024,-0.048131346702575684,-0.1289382129907608,0.0,0.0,0.0
865,fused,0.866346001625061,-9.16884708404541,3.705504894256592,0.32992368936538696,-0.05984634533524513,-0.19283820688724518,0.0,0.0,0.0
887,fused,0.866346001625061,-9.16884708404541,3.705504894256592,0.32992368936538696,-0.05984634533524513,-0.19283820688724518,0.0,0.0,0.0
905,fused,1.0460084676742554,-9.774909019470215,3.4947009086608887,0.574873685836792,-0.12055134028196335,-0.09272821992635727,0.0,0.0,0.0
926,fused,1.4101245403289795,-10.160584449768066,3.561774969100952,0.574873685836792,-0.12055134028196335,-0.09272821992635727,0.0,0.0,0.0
945,fused,1.388564944267273,-10.208494186401367,3.604893922805786,1.1116336584091187,-0.07582134008407593,0.009511781856417656,0.0,0.0,0.0
976,fused,0.9813299775123596,-8.84066390991211,4.615795135498047,1.4066386222839355,0.1393086463212967,0.009511781856417656,0.0,0.0,0.0
992,fused,0.9813299775123596,-8.84066390991211,4.615795135498047,1.4066386222839355,0.1393086463212967,0.009511781856417656,0.0,0.0,0.0
1004,fused,0.9861209988594055,-8.26574420928955,4.92241907119751,1.2884236574172974,0.0999036580324173,0.018031779676675797,0.0,0.0,0.0
1024,fused,0.859159529209137,-7.55188512802124,5.317676544189453,0.9848986864089966,0.08286365866661072,0.003121781162917614,0.0,0.0,0.0
1048,fused,0.8639504909515381,-7.427319049835205,5.607532024383545,0.16804368793964386,-0.08753634244203568,-0.054388221353292465,0.0,0.0,0.0
1064,fused,0.8112494945526123,-7.834554195404053,5.399123668670654,0.16804368793964386,-0.08753634244203568,-0.054388221353292465,0.0,0.0,0.0
1085,fused,0.9813299775123596,-8.543622016906738,5.183528423309326,0.011488687247037888,-0.1471763551235199,-0.08953321725130081,0.0,0.0,0.0
1105,fused,1.065172553062439,-8.174715042114258,5.274557590484619,-0.1972513198852539,-0.11842133849859238,-0.14278320968151093,0.0,0.0,0.0
1124,fused,1.1729700565338135,-8.387914657592773,5.04219388961792,-0.40918630361557007,-0.12161634117364883,-0.11935321986675262,0.0,0.0,0.0
1152,fused,1.2520215511322021,-9.207175254821777,4.884090900421143,-0.23878630995750427,-0.04600134491920471,-0.049063220620155334,0.0,0.0,0.0
1165,fused,1.2520215511322021,-9.207175254821777,4.884090900421143,-0.23878630995750427,-0.04600134491920471,-0.049063220620155334,0.0,0.0,0.0
1185,fused,1.2160890102386475,-9.010744094848633,4.860136032104492,-0.1365463137626648,-0.028961343690752983,-0.04799821972846985,0.0,0.0,0.0
1205,fused,1.2663944959640503,-8.82629108428955,4.836181163787842,-0.11205130815505981,-0.025766342878341675,-0.029893219470977783,0.0,0.0,0.0
1224,fused,1.1370375156402588,-8.699329376220703,4.876904487609863,-0.1365463137626648,-0.00020634382963180542,-0.005398218985646963,0.0,0.0,0.0
1245,fused,1.10589599609375,-8.874200820922852,4.814621448516846,-0.14932632446289062,-0.009791344404220581,0.0009917807765305042,0.0,0.0,0.0
1264,fused,1.122664451599121,-8.917320251464844,4.78587532043457,-0.1280263215303421,-0.028961343690752983,-0.016048219054937363,0.0,0.0,0.0
1286,fused,1.2041114568710327,-8.914924621582031,4.723592281341553,-0.08755630999803543,-0.04174134507775307,-0.035218220204114914,0.0,0.0,0.0
1304,fused,1.2136934995651245,-8.792754173278809,4.73077917098999,-0.0896863117814064,-0.024701343849301338,-0.04586821794509888,0.0,0.0,0.0
1325,fused,1.1729700565338135,-8.615487098693848,4.788270950317383,-0.16317132115364075,-0.017246343195438385,-0.04693321883678436,0.0,0.0,0.0
1346,fused,1.1897385120391846,-8.64902400970459,4.778688907623291,-0.26221632957458496,-0.024701343849301338,-0.049063220620155334,0.0,0.0,0.0
1365,fused,1.2304619550704956,-8.902947425842285,4.654122829437256,-0.29310131072998047,-0.007661343552172184,-0.07249321788549423,0.0,0.0,0.0
1385,fused,1.2304619550704956,-9.010744094848633,4.567884922027588,-0.2813863158226013,0.005118655972182751,-0.08953321725130081,0.0,0.0,0.0
1404,fused,1.302327036857605,-9.053863525390625,4.503206729888916,-0.26967132091522217,0.006183656398206949,-0.09485822170972824,0.0,0.0,0.0
1425,fused,1.2807674407958984,-9.063445091247559,4.476856231689453,-0.2505013048648834,0.022158656269311905,-0.08740322291851044,0.0,0.0,0.0
1445,fused,1.2855584621429443,-9.049072265625,4.469669342041016,-0.22707131505012512,0.022158656269311905,-0.08527322113513947,0.0,0.0,0.0
1466,fused,1.299931526184082,-9.065840721130371,4.448110103607178,-0.19405631721019745,0.014703655615448952,-0.0671682208776474,0.0,0.0,0.0
1484,fused,1.3095134496688843,-9.096982955932617,4.369058609008789,-0.17701631784439087,0.02109365724027157,-0.04799821972846985,0.0,0.0,0.0
1504,fused,1.304722547531128,-9.085004806518555,4.328334808349609,-0.16530132293701172,0.029613656923174858,-0.04267321899533272,0.0,0.0,0.0
1525,fused,1.2927449941635132,-9.075423240661621,4.333126068115234,-0.15039131045341492,0.036003656685352325,-0.04480322077870369,0.0,0.0,0.0
1545,fused,1.299931526184082,-9.099377632141113,4.318752765655518,-0.13122132420539856,0.025353657081723213,-0.040543220937252045,0.0,0.0,0.0
1565,fused,1.3119089603424072,-9.063445091247559,4.316357612609863,-0.1280263215303421,0.025353657081723213,-0.04267321899533272,0.0,0.0,0.0
1591,fused,1.3382594585418701,-9.111355781555176,4.239701271057129,-0.1365463137626648,0.024288656190037727,-0.04160821810364723,0.0,0.0,0.0
1613,fused,1.3095134496688843,-9.154474258422852,4.2205376625061035,-0.1365463137626648,0.02641865611076355,-0.0362832210958004,0.0,0.0,0.0
1627,fused,1.3095134496688843,-9.154474258422852,4.2205376625061035,-0.09927131235599518,0.027483657002449036,-0.02776321955025196,0.0,0.0,0.0
1645,fused,1.343050479888916,-9.21915340423584,4.158254623413086,-0.0012913120444864035,0.04132865369319916,-0.011788219213485718,0.0,0.0,0.0
1665,fused,1.2687900066375732,-9.08021354675293,4.227724075317383,0.07432369142770767,0.04984865337610245,-0.01391821913421154,0.0,0.0,0.0
1685,fused,1.2687900066375732,-9.08021354675293,4.227724075317383,0.07432369142770767,0.04984865337610245,-0.01391821913421154,0.0,0.0,0.0
1705,fused,1.3526325225830078,-9.152078628540039,4.261260986328125,0.06793369352817535,0.032808657735586166,-0.029893219470977783,0.0,0.0,0.0
1724,fused,1.3526325225830078,-9.152078628540039,4.261260986328125,0.05515368655323982,0.029613656923174858,-0.009658219292759895,0.0,0.0,0.0
1744,fused,1.3286775350570679,-9.037095069885254,4.29719352722168,0.023203687742352486,0.015768656507134438,0.012706780806183815,0.0,0.0,0.0
1765,fused,1.326282024383545,-9.111355781555176,4.261260986328125,0.01574868895113468,0.010443656705319881,0.03081177920103073,0.0,0.0,0.0
1784,fused,1.2951405048370361,-9.113751411437988,4.273238658905029,0.01894368790090084,0.010443656705319881,0.03613677993416786,0.0,0.0,0.0
1804,fused,1.2807674407958984,-9.166452407836914,4.261260986328125,0.034918688237667084,0.005118655972182751,0.02548678033053875,0.0,0.0,0.0
1824,fused,1.2544169425964355,-9.08021354675293,4.3019843101501465,0.05302368849515915,-0.001271343557164073,-0.0022032191045582294,0.0,0.0,0.0
1845,fused,1.299931526184082,-8.965229988098145,4.352290153503418,0.034918688237667084,-0.012986344285309315,-0.024568218737840652,0.0,0.0,0.0
1864,fused,1.3741919994354248,-9.010744094848633,4.330730438232422,-0.007681311573833227,-0.02150634303689003,-0.014983218163251877,0.0,0.0,0.0
1884,fused,1.3574235439300537,-9.14728832244873,4.2636566162109375,-0.009811311960220337,-0.017246343195438385,0.018031779676675797,0.0,0.0,0.0
1905,fused,1.3574235439300537,-9.14728832244873,4.2636566162109375,0.03278868645429611,-0.009791344404220581,0.035071779042482376,0.0,0.0,0.0
1926,fused,1.304722547531128,-9.10656452178955,4.325939655303955,0.06047868728637695,-0.0034013439435511827,0.038266781717538834,0.0,0.0,0.0
1945,fused,1.304722547531128,-9.10656452178955,4.325939655303955,0.07112868875265121,0.007248655892908573,0.03400678187608719,0.0,0.0,0.0
1968,fused,1.2855584621429443,-8.92929744720459,4.378640651702881,0.04982868582010269,0.007248655892908573,0.021226780489087105,0.0,0.0,0.0
